buffer,sigma_annual,delay_mean,VaR95_median,ES95_median,P_breach_mean,Max_loss_p95
0.15,0.5,1.0,0.0,0.0,0.0013493333333333332,0.03636640509953386
0.15,0.5,1.5,0.0,8.475814074039776e-05,0.003173333333333334,0.05880081284756696
0.15,0.5,2.5,0.0,0.002781088037155619,0.008946666666666667,0.10083842595093484
0.15,0.5,3.5,0.0,0.007151942789232689,0.01721466666666667,0.1371700366286562
0.15,0.65,1.0,0.0,0.001382003695887487,0.005661333333333334,0.09129578855401042
0.15,0.65,1.5,0.0,0.004423803966835374,0.011248000000000003,0.12893442879329103
0.15,0.65,2.5,0.0,0.013863568182236045,0.026142666666666665,0.19416608211558029
0.15,0.65,3.5,0.0,0.027751839105345365,0.04351066666666667,0.24493281959433202
0.15,0.87,1.0,0.0,0.009206415224966458,0.018557333333333332,0.2020978858281477
0.15,0.87,1.5,0.0,0.019507630497496733,0.03218933333333334,0.2703859528346213
0.15,0.87,2.5,0.005110796830588016,0.04566589571352807,0.06242533333333334,0.38360154252622625
0.15,0.87,3.5,0.024968599416255344,0.07257203178340912,0.09182266666666665,0.4784878671666648
0.2,0.35,1.0,0.0,0.0,2.666666666666667e-06,0.0
0.2,0.35,1.5,0.0,0.0,1.866666666666667e-05,0.0
0.2,0.35,2.5,0.0,0.0,0.00010933333333333334,0.0
0.2,0.35,3.5,0.0,0.0,0.00030000000000000003,0.004277031160517704
0.2,0.5,1.0,0.0,0.0,0.000136,0.0
0.2,0.5,1.5,0.0,0.0,0.0004280000000000001,0.013538886137261312
0.2,0.5,2.5,0.0,0.0,0.00172,0.05120223950068173
0.2,0.5,3.5,0.0,0.0004290695919686132,0.004317333333333334,0.08341561211861404
0.2,0.65,1.0,0.0,0.0,0.0011106666666666667,0.04220500908239733
0.2,0.65,1.5,0.0,0.0,0.002742666666666667,0.07207584442784341
0.2,0.65,2.5,0.0,0.0029225422648459587,0.008134666666666669,0.13042937923793677
0.2,0.65,3.5,0.0,0.008213390103341454,0.016136,0.18079692542465628
0.2,0.87,1.0,0.0,0.0018396588632957562,0.005861333333333335,0.1265431822184377
0.2,0.87,1.5,0.0,0.005917905459918216,0.011885333333333335,0.1904027031260846
0.2,0.87,2.5,0.0,0.018727191715568775,0.027940000000000003,0.29168625424083094
0.2,0.87,3.5,0.0,0.03767974717589989,0.04667866666666667,0.37858521574462495
