date,open,high,low,price_usd,volume,log_return,pct_return,volatility_30d,volatility_90d
2022-02-28,3.835831205,3.8894971661,3.8040538631,3.8493938626,1082751.27,0.0035137536655109,0.0035199341346838,0.5745883246758491,0.8925019982489907
2022-03-01,3.8493658926,3.9310354385,3.8255768577,3.8334291019,1201238.93,-0.0041559681259006,-0.0041473440416451,0.5330408496462817,0.8915709727274225
2022-03-02,3.8334005442,3.852338475,3.6197238396,3.6203513576,1856863.66,-0.0571886482552208,-0.055584109849427,0.5256417874559618,0.887436310727387
2022-03-03,3.6206848072,3.621429162,3.4794228882,3.4842636127,1849721.36,-0.038314361304284,-0.0375896512404296,0.5272170434751692,0.8842339676044673
2022-03-04,3.4825414346,3.4825627986,3.321769903,3.3328153589,1133869.04,-0.0444393200125681,-0.0434663592180503,0.5302298102447693,0.8769490866701388
2022-03-05,3.3328030847,3.3453561269,2.9696249449,3.0633278148,2491009.27,-0.084315553703303,-0.080858828071695,0.5563209944991078,0.8838353177343389
2022-03-06,3.0633463081,3.0820331221,3.012831159,3.0243577252,757971.53,-0.0128030995266826,-0.0127214885105414,0.55601589067652,0.8800645412995982
2022-03-07,3.0243953031,3.0256915572,2.8626767419,2.8709624642,1254020.22,-0.052051419758367,-0.050719946163067,0.545908694135346,0.8828223075015068
2022-03-08,2.8709038119,2.9072780813,2.8019837422,2.8227397968,841872.15,-0.0169393544921046,-0.0167966903090239,0.5421398103098226,0.8829056205456294
2022-03-09,2.8227587695,2.827007744,2.7242987321,2.7249655581,537305.89,-0.0352521836348657,-0.0346380629241285,0.5374545403272117,0.8576655874879578
2022-03-10,2.7249457663,2.7304715288,2.7054103077,2.7108437138,320339.42,-0.0051958688630484,-0.0051823936849486,0.5390116068395298,0.8543042722274318
2022-03-11,2.7108612964,2.7338980802,2.6993272169,2.7104831209,264616.02,-0.0001330275452952,-0.0001330186975236,0.535241141284962,0.8463212036135213
2022-03-12,2.7105101502,2.7328377635,2.7008722647,2.7088824688,278636.0,-0.000590715691736,-0.0005905412535712,0.49607745166815237,0.8152220776922662
2022-03-13,2.7089262642,2.8091367657,2.7089262642,2.8049240559,849999.5,0.0348402873567887,0.0354543204462263,0.5166047069773874,0.8005788948049319
2022-03-14,2.8048998628,2.8082686426,2.7640145176,2.7937364558,488266.32,-0.003996532730487,-0.0039885572218854,0.5158177685120031,0.8005814246746792
2022-03-15,2.7937123701,2.9283940396,2.7807428121,2.9226966004,1258102.7,0.0451267520780884,0.0461604545168423,0.5165167880575249,0.803230294684315
2022-03-16,2.9226887971,3.1798840996,2.921391002,3.1581526814,1821494.31,0.0774805787528799,0.080561246407778,0.5715384428190563,0.8143191599460623
2022-03-17,3.1581682615,3.1787100155,3.1070639078,3.1161491299,644137.08,-0.0133892758968062,-0.0133000382620448,0.5658393982059947,0.8060047378039005
2022-03-18,3.1161005546,3.1168830091,2.8661036134,2.8963272397,1280956.11,-0.0731545209926054,-0.0705428017198439,0.5724154679556421,0.8136500900154139
2022-03-19,2.8962373032,2.925864819,2.8896501714,2.9160619647,337577.51,0.0067905985440025,0.0068137069352853,0.5580676537402229,0.8067613352515477
2022-03-20,2.9160630242,2.9508955837,2.8976029125,2.944157035,369384.28,0.0095884763192452,0.0096345930368082,0.5528043513987531,0.8053949349009901
2022-03-21,2.9441428894,3.0495196756,2.9404129154,3.0464024259,861681.69,0.0341388217945559,0.0347282395892989,0.5692904193888769,0.807403846282973
2022-03-22,3.0463923029,3.1355383119,2.8559260434,2.9187914948,2123376.15,-0.0427917029637083,-0.0418890590471807,0.5760477551878166,0.7814463799723331
2022-03-23,2.9187655326,2.9734472888,2.9145401002,2.947047672,607561.61,0.0096342211074999,0.0096807796138709,0.5718114502195957,0.7719780753337797
2022-03-24,2.9470946635,3.0521649309,2.942320648,3.0471591969,963651.05,0.0334058656588957,0.0339701070502398,0.5800851431271726,0.7710236515056885
2022-03-25,3.0471572477,3.1545267204,3.0425966395,3.1489943195,949160.14,0.0328733924770147,0.0334196922509335,0.5899902610670803,0.770208934825359
2022-03-26,3.1490706879,3.23259028,3.1447489166,3.2311606733,836015.71,0.0257582760545314,0.0260928872723551,0.5842532710801721,0.7636243049937125
2022-03-27,3.2311610036,3.3438685312,3.2217060092,3.3421047184,1210610.58,0.0337593494679769,0.0343356633474658,0.5868907637269881,0.7572491595506275
2022-03-28,3.3421121891,3.3617611469,3.2483932095,3.3617611469,1484965.19,0.0058642237853593,0.0058814520059116,0.5877352565922779,0.7524193150982107
2022-03-29,3.3616534546,3.3616534546,3.2156479289,3.2343788694,1245984.22,-0.0386280812779128,-0.0378915312342947,0.5959178862856954,0.7540747545034585
2022-03-30,3.2343789884,3.2760807025,3.2077498164,3.2594864162,890002.92,0.0077327356835643,0.007762710496763,0.596608885738223,0.74866022926526
2022-03-31,3.2595137418,3.2621420105,3.1642155399,3.1941749914,1006708.22,-0.0202408060936037,-0.0200373360893284,0.598102975682039,0.7466581485221132
2022-04-01,3.1942756128,3.2537240897,3.1699922104,3.2530300496,903735.15,0.0182580491212172,0.018425746353428,0.5818322643009236,0.7469615235596151
2022-04-02,3.2530558924,3.3148574663,3.2114825906,3.3122027414,1441674.12,0.0180265638879309,0.0181900231162255,0.5754725109135176,0.7234723219058182
2022-04-03,3.3121456681,3.3543952196,3.2925761392,3.3196186986,910588.72,0.0022364776730521,0.0022389804547005,0.5610611491307752,0.7035495846402291
2022-04-04,3.3196121987,3.3380335622,3.2439372199,3.2474002167,1217738.66,-0.0219951836121924,-0.0217550533531025,0.5061976825515059,0.7032332559265442
2022-04-05,3.2474199842,3.2649951346,3.2205873293,3.2383562787,727825.04,-0.0027888632168692,-0.0027849779505128,0.5044915296587814,0.6788128310720183
2022-04-06,3.2383093479,3.2393835467,3.15717965,3.202690495,632638.98,-0.0110746434483795,-0.0110135453392168,0.4795048213834873,0.6740276919524523
2022-04-07,3.2026905113,3.2484948296,3.1595607379,3.2243103534,1477732.64,0.0067278472369573,0.0067505300414612,0.4755663507393791,0.6717853538474655
2022-04-08,3.2244349659,3.2245861296,3.1624313877,3.1683152149,644342.23,-0.0175191148176955,-0.0173665473737519,0.4653752229588564,0.6712074403904033
2022-04-09,3.16832025,3.1818804491,3.1595053556,3.1707961699,282732.93,0.0007827453963407,0.0007830518214642,0.4645561056897988,0.670653963756717
2022-04-10,3.1707626709,3.2223084132,3.1531878613,3.1979694679,676490.35,0.0085333530663713,0.0085698659087434,0.46436666594293197,0.6676813193300818
2022-04-11,3.198061435,3.3034820822,3.1803683366,3.1803688243,1055095.13,-0.0055188945669932,-0.0055036934456906,0.46514855865236665,0.6676413193236161
2022-04-12,3.1803694539,3.4726762103,3.1415129262,3.4726762103,1773090.65,0.0879283663148284,0.0919099016964917,0.5169595917643918,0.63336758200921
2022-04-13,3.4726073021,3.4998434312,3.4299276694,3.4520496545,641093.08,-0.0059573814780249,-0.0059396714668707,0.5173570241879111,0.6297874573427481
2022-04-14,3.452020818,3.4703755034,3.2962104284,3.4399342603,1466093.69,-0.0035157965629229,-0.0035096233868499,0.5053186140152602,0.6297905778961483
2022-04-15,3.4399165695,3.5295144676,3.4265299329,3.5281442776,727869.44,0.0253196714949102,0.0256429369357504,0.46139715480094307,0.6313071619373369
2022-04-16,3.5281095343,3.5356447502,3.520500667,3.5351381893,252428.91,0.0019803580045147,0.0019823202085027,0.45859433882415546,0.6281180425736101
2022-04-17,3.535094077,3.5355062064,3.5244566433,3.526733366,253415.99,-0.002380339886579,-0.0023775091240956,0.3965240827642686,0.6163711071747772
2022-04-18,3.5267637188,3.5518243487,3.51128437,3.5345615837,252756.6,0.0022172196354247,0.0022196794845532,0.3967228920648601,0.6147801161208869
2022-04-19,3.5345454388,3.5499207474,3.504183445,3.5318809959,261047.78,-0.0007586810190227,-0.000758393293347,0.3971361789766936,0.6113313544892226
2022-04-20,3.5319082962,3.5474337077,3.4934522044,3.4972176941,262557.81,-0.0098628812374959,-0.0098144025351473,0.39053001323712355,0.610466113563196
2022-04-21,3.4972195784,3.5387742238,3.401825455,3.421156264,265945.43,-0.0219891249923137,-0.0217491265208683,0.37284709734123994,0.6041149560292383
2022-04-22,3.4211063628,3.4385679076,3.3704880999,3.433874494,251124.27,0.0037106309342324,0.0037175238482471,0.37264306007080605,0.5892022028911018
2022-04-23,3.4338302747,3.4424163399,3.4204890825,3.4357926603,231463.57,0.000558445207538,0.0005586011670932,0.3629945332305941,0.5730857556236845
2022-04-24,3.4357582732,3.4399034625,3.4206641084,3.4348007317,238725.98,-0.0002887461243294,-0.0002887044411793,0.35265098962649516,0.566998117805202
2022-04-25,3.4348087008,3.4470625412,3.2980815757,3.3673593023,263864.15,-0.0198300654663386,-0.019634742935035,0.35171957585560326,0.5674395890151537
2022-04-26,3.3673098693,3.3726546769,3.2944803317,3.3001601087,261324.33,-0.0201578622919714,-0.0199560508895207,0.3431932726550436,0.5680074761749211
2022-04-27,3.3001147936,3.3120674717,3.2363347888,3.2546766811,218991.38,-0.0138780442795696,-0.0137821881672028,0.34481745993109325,0.5637371233164876
2022-04-28,3.2546835383,3.2657436148,3.1357244257,3.251280744,240455.95,-0.0010439470124146,-0.0010434022893027,0.3259419312691727,0.5493300587969423
2022-04-29,3.2513095448,3.2831326212,3.1110209965,3.132922969,257698.09,-0.0370825691009272,-0.0364034312381114,0.34237611496842046,0.5190289742209728
2022-04-30,3.1328616417,3.1423607244,2.8937880412,2.9190115817,226590.2,-0.0707213651319297,-0.0682785339494889,0.39398790594536853,0.5128729202090109
